Ticker,Risk (Volatility),Return,Liquidity (Volume),Overall Score
AAPL,0.14251547917327623,0.8569787826851442,44582030.0,0.14436687673888365
TSLA,0.8293554771394743,4.684186986444429,104595695.0,0.14421661989756987
CSCO,0.1720004777116572,0.8736304893152131,20497360.0,0.1200939522282903
IBM,0.21970181566175906,1.2973318674914973,3863975.0,0.10530540232614083
MSFT,0.18915077157213936,0.4603520310755176,22116060.0,0.10245166745596725
NVDA,0.3932332908117444,0.3494325255872714,224903765.0,0.0932832430063744
SONY,0.40866688820873937,1.7130457428786938,3115575.0,0.07937375345390363
AMZN,0.3190596471386394,0.700216743810165,45296895.0,0.07641249627820214
META,0.24575299524754254,0.1951369068812124,11890560.0,0.07433273430140559
INTC,0.5021298693047145,0.5958559193490696,71765820.0,0.06016325431326232
